Date	Days p.a.	Treatment	Replicate	DO	EF	Scenedesmus maximus	Scenedesmus aristatus	Scenedesmus tropicus	Scenedesmus perforatus	Scenedesmus opoliensis	Scenedesmus quadricauda	Scenedesmus quadrispina	Scenedesmus dispar	Scenedesmus bicaudatus	Scenedesmus denticulatus	Scenedesmus denticulatus var linearis	Scenedesmus bijuga	Scenedesmus dimorphus	Scenedesmus longispina	Scenedesmus obliquus	Scenedesmus bernardii	Pediastrum tetras	Pediastrum duplex	Pediastrum simplex	Coelastrum cambricum	Coelastrum astroideum	Coelastrum sphaericum	Coelastrum reticulatum	Coelastrum microporum	Sphaerocystis shroeteri	Schizochlamys sp	Oocystis borgei	Oocystis pusilla	Oocystis lacustris	Oocystis elliptica	Oocystis rupestris	Tetraedron caudatum	Tetraedron minimum	Tetraedron trigonium	Staurastrum sexangulare	Staurastrum sp	Botryococcus braunnii	Elakatothrix gelatinosa	Micractinium pusillum	Kirchneriella obesa	Schroederia sp	Sphaerocystis schoeteri	Ankistrodesmus falcatus	Ankistrodesmus nannoselene	Monoraphidium sp	Golenkinia radiata	Chroococcus dispersus	Chroococcus dispersus var minor	Chroococcus limneticus	Spirulina laxissima	Gomphosphaeria sp	Pseudoanabaena limnetica	Merismopedia minima	Merismopedia tenuissima	Phormidium mucicola	Oscillatoria tenius	Oscillatoria limnetica	Coelosphaerium sp	Microcystis incerta	Microcystis aeruginosa	Nitzschia palea	Nitzschia amphibia	Cocconeis sp	Gomphonema parvulum	Amphora sp	Surirella tenera	Frustulia sp	Cyclotella sp	Chilomonas paramecium	Cryptomonas ovata	Cryptomonas pyrenoidifera	Mallomonas spp	Mallomonas caudata	Campilomonas spp	Chroomonas acuta	Phacus longispina	Cosmarium sp
27/02/05	-2	4	1	NA	NA	0	5171.428571	5171.428571	0	2585.714286	10342.85714	2585.714286	10342.85714	77571.42857	0	0	0	2585.714286	0	0	0	15514.28571	0	0	0	0	2585.714286	18100	0	2585.714286	12928.57143	0	12928.57143	2585.714286	0	0	0	0	0	0	0	0	2585.714286	0	0	0	0	0	0	0	0	186171.4286	25857.14286	0	0	0	12928.57143	5171.428571	0	0	2585.714286	0	0	4525000	129285.7143	10342.85714	0	10342.85714	0	0	0	0	0	5171.428571	5171.428571	0	0	0	0	0	2585.714286	0
27/02/05	-2	4	2	NA	NA	0	0	0	0	0	0	0	10342.85714	2585.714286	5171.428571	5171.428571	2585.714286	0	0	10342.85714	2585.714286	12928.57143	2585.714286	0	0	5171.428571	28442.85714	0	2585.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15514.28571	0	0	0	0	7757.142857	0	2585.714286	7757.142857	10342.85714	0	0	0	0	36200	2585.714286	0	12928.57143	0	0	0	0	0	5171.428571	0	0	0	0	0	0	0
27/02/05	-2	5	1	NA	NA	0	0	0	0	0	18100	0	134457.1429	49128.57143	2585.714286	0	0	0	0	2585.714286	0	82742.85714	5171.428571	0	0	0	7757.142857	10342.85714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38785.71429	7757.142857	0	0	0	2585.714286	0	2585.714286	0	5171.428571	0	2585.714286	0	1163571.429	0	0	0	0	0	0	0	0	7757.142857	0	0	0	0	0	0	0	0
27/02/05	-2	5	2	NA	NA	0	0	2585.714286	0	0	0	0	56885.71429	124114.2857	2585.714286	2585.714286	2585.714286	0	0	0	0	51714.28571	2585.714286	0	0	0	12928.57143	23271.42857	2585.714286	2585.714286	0	0	2585.714286	0	0	0	2585.714286	5171.428571	0	2585.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7757.142857	0	0	0	0	0	0	7757.142857	0	2585.714286	7757.142857	0	2585.714286	0	2585.714286	0	28442.85714	0	0	0	0	0	0	0
08/03/05	7	1	1	11.6	40.256	0	1020	4600	0	0	11500	0	2300	78200	2300	2300	0	0	0	0	0	4600	0	0	0	0	6900	23000	0	2300	0	2300	25300	69000	0	0	0	9200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4600	0	0	0	0	0	9200	6900	0	4600	0	0	0	2300	0	0	2300	0	0	0	0	0	0	4600	0	0	0	4600	0	0
08/03/05	7	1	2	10.9	18.944	0	2800	2800	0	0	0	0	58800	5600	0	0	2800	0	0	0	0	25200	33600	0	8400	0	0	0	0	0	0	0	16800	0	0	0	0	2800	0	0	0	0	0	0	5600	0	0	0	0	0	0	0	0	0	0	0	0	0	2800	0	2800	0	0	0	0	8400	0	0	0	0	0	0	0	0	0	2800	0	0	0	0	0	0
08/03/05	7	1	3	10.25	23.68	0	1145	0	0	0	2425	0	50925	9700	2425	0	0	0	0	0	0	12125	12595	0	4850	0	0	4850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2425	0	0	0	0	0	0	2425	2425	0	2425	0	0	0	0	0	0	0	0	0	0	0	0	0
08/03/05	7	1	4	11.1	24.864	0	1280	0	0	0	0	0	23040	10080	0	2880	0	4320	0	0	0	7200	20480	320	8640	0	1440	2880	1440	0	0	1440	1440	0	0	0	0	4320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2880	0	5760	0	0	0	0	2880	0	1440	1440	0	0	0	0	0	0	0	0	0	0	2425	0	0
08/03/05	7	2	1	12.15	81.696	0	1520	3040	0	0	5600	0	39200	25200	0	0	2800	2800	0	0	0	14000	8400	1520	8400	0	0	0	0	0	0	0	0	14000	0	0	0	2800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8400	0	0	0	0	0	0	2800	0	0	2800	0	0	0	0	0	0	0	0	0	0	0	0	0
08/03/05	7	2	2	12.05	36.704	0	2290	0	0	0	0	0	24250	16975	0	2425	0	0	0	0	0	4850	11450	0	0	0	4850	7275	0	0	0	0	9700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26675	0	0	0	0	2425	0	0	0	2425	0	0	3152500	0	16975	2425	0	0	0	0	0	0	0	2425	0	0	0	0	0	0	0
