Date	Day	week	Locatie	Treatment	replica	EF	Aphanocapsa	Oscillatoria	Anabaena	Gomphosphaeria	Merismopedia	Phormidium	Chrysococcus	Monas	Kephyrion	Achnanthes	Caloneis_silicula	Cocconeis	Cyclotella	Cymatopleura	Cymbella	Diatomeen_penales	Epithemia	Gomphonema	Gyrosigma	Pinnularia	Melosira	Phacus	Euglena	Trachelomonas	Gymnodinium	Cryptomonas	Chroomonas	Pteromonas	Ankyra	Characium	Monoraphidium	Coelastrum	Chlorococcum	Crucigenia	Dictyosphaerium	Micractinium	Scenedesmus	Pediastrum	Pandorina	Tetraedron	Tetrastrum	Oocystis	Closterium	Cosmarium	Staurastrum
16/07/01	28	4	cosm20	1	2	75.48535857	0	0	0	0	0	0	0	116009.2807	0	0	0	0	0	0	0	116009.2807	0	0	0	0	0	69605.56845	23201.85615	4361948.956	0	3480278.422	0	0	23201.85615	0	23201.85615	0	0	0	0	0	835266.8213	0	46403.7123	92807.42459	0	0	0	0	0
30/07/01	42	6	cosm6	3	1	62.95307404	0	0	0	0	0	0	0	0	0	0	0	27842.22738	0	0	4640.37123	97447.79582	32482.59861	0	0	0	0	4640.37123	0	41763.34107	0	0	0	0	0	0	23201.85615	0	0	0	0	0	23201.85615	0	0	0	0	0	0	0	0
30/07/01	42	6	cosm7	1	1	36.05758245	0	0	0	0	0	0	0	0	0	0	0	20881.67053	0	0	0	32482.59861	9280.742459	4640.37123	0	0	0	2320.185615	0	6960.556845	0	0	2320.185615	0	0	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0
30/07/01	42	6	cosm8	4	1	101.0223032	0	23201.85615	116009.2807	0	0	0	0	0	0	0	0	0	0	0	0	162412.993	0	0	0	0	0	92807.42459	23201.85615	3573085.847	0	0	0	0	0	0	324825.9861	0	0	0	0	0	9373549.884	0	0	0	23201.85615	0	0	0	0
30/07/01	42	6	cosm9	2	1	41.0218877	0	18561.48492	0	0	0	9280.742459	0	0	0	18561.48492	0	27842.22738	0	0	0	74245.93968	46403.7123	18561.48492	0	0	0	27842.22738	0	1252900.232	0	0	0	0	0	0	46403.7123	0	0	0	0	0	27842.22738	0	0	0	0	0	0	0	0
30/07/01	42	6	cosm10	5	1	48.47146151	0	18236658.93	0	0	0	0	0	0	0	0	0	0	0	0	0	23201.85615	0	0	0	0	0	23201.85615	0	2691415.313	0	0	0	0	0	0	0	0	0	0	0	0	3619489.559	0	0	0	0	23201.85615	0	0	0
30/07/01	42	6	cosm16	5	2	48.47146151	23201.85615	34802.78422	92807.42459	0	0	0	0	0	0	0	0	11600.92807	0	0	0	69605.56845	0	0	0	0	0	46403.7123	92807.42459	5336426.914	0	0	0	0	0	0	116009.2807	11600.92807	0	0	0	0	4176334.107	0	0	0	0	0	0	0	0
30/07/01	42	6	cosm17	3	2	62.95307404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92807.42459	23201.85615	0	46403.7123	0	0	0	0	1925754.06	0	0	0	0	0	0	23201.85615	0	0	0	0	0	2366589.327	0	0	69605.56845	0	0	0	0	0
30/07/01	42	6	cosm18	4	2	101.0223032	0	139211.1369	0	0	0	0	0	0	0	0	0	0	0	0	0	69605.56845	0	0	0	0	0	69605.56845	139211.1369	974477.9582	0	0	0	0	0	0	1067285.383	46403.7123	0	0	0	0	9791183.295	0	0	0	0	0	0	0	0
30/07/01	42	6	cosm19	2	2	41.0218877	0	0	0	0	0	0	0	0	0	0	0	11600.92807	0	0	0	150812.065	46403.7123	11600.92807	0	0	0	23201.85615	0	336426.9142	0	0	0	0	0	0	371229.6984	0	0	0	0	0	440835.2668	0	0	0	0	0	0	0	0
30/07/01	42	6	cosm20	1	2	36.05758245	371229.6984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208816.7053	0	0	0	0	0	23201.85615	0	1670533.643	0	0	0	0	0	0	1902552.204	0	0	0	0	0	1160092.807	0	0	139211.1369	0	0	0	0	0
13/08/01	56	8	cosm6	3	1	16.07572411	0	0	0	0	0	0	0	0	0	46403.7123	0	11600.92807	0	0	0	104408.3527	0	23201.85615	0	0	0	0	0	0	11600.92807	0	0	0	0	591647.3318	0	0	0	0	0	0	34802.78422	0	0	0	0	0	0	0	0
13/08/01	56	8	cosm7	1	1	12.35156039	0	0	0	0	0	0	0	0	0	4640.37123	0	23201.85615	0	0	9280.742459	37122.96984	23201.85615	0	0	0	0	0	0	4640.37123	0	4640.37123	0	0	0	4640.37123	0	0	0	0	0	0	9280.742459	0	0	0	0	0	0	0	0
13/08/01	56	8	cosm8	4	1	59.1129976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208816.7053	0	0	46403.7123	0	0	0	0	162412.993	0	0	0	0	0	0	69605.56845	46403.7123	0	0	0	0	2273781.903	0	0	0	0	0	0	0	0
13/08/01	56	8	cosm9	2	1	13.17915233	0	0	4640.37123	0	0	0	0	0	0	0	0	4640.37123	0	2320.185615	0	9280.742459	71925.75406	11600.92807	0	0	0	0	0	6960.556845	0	4640.37123	0	0	0	25522.04176	0	0	0	0	0	0	6960.556845	0	0	0	0	0	0	0	0
13/08/01	56	8	cosm10	5	1	127.8031284	0	10069605.57	0	0	0	0	0	0	0	0	0	0	0	0	0	46403.7123	0	0	0	0	0	46403.7123	881670.5336	6218097.448	0	0	0	0	0	0	510440.8353	0	0	0	0	0	98839907.19	0	0	0	0	0	0	0	0
13/08/01	56	8	cosm16	5	2	127.8031284	0	1276102.088	23201.85615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46403.7123	69605.56845	6774941.995	0	0	0	0	0	0	69605.56845	0	0	0	0	0	33178654.29	0	0	0	0	0	0	0	0
