Week	Treatment	Replicate	EF	Stephanodiscus sp_Cyclotella sp.	Diatoma sp._single cell	Diatoma sp._colony	Synedra sp.	Navicula sp.	Nitschia sp.	Melosira sp.	"Gomphonema sp,"	Cocconeis sp.	Cymatopleura sp.	Pinnularia sp.	Gyrosigma sp.	Chlamydomonas sp.	Monoraphidium sp.	Selenastrum sp.	Scenedesmus spˆ.	Chodatella sp.	Chroomonas sp.	Cryptomonas sp.	Anabaena sp.
5	6	2	204	8.383	0	0	1.665	0	0	1.665	0	3.564	2.629	0	0	6.468	0	0	0	1.665	1.665	1.665	0
6	1	1	15	1.665	0	0	0	0	2.898	0	2.898	2.259	0	0	0	2.259	0	0	0	0	0	1.665	0
6	1	2	15	2.629	0	0	1.665	0	1.665	0	0	2.898	0	0	0	2.898	1.665	0	0	0	0	3.11	0
6	2	1	21	4.412	0	0	2.629	0	0	0	0	1.665	0	0	0	3.285	1.665	3.11	1.665	0	1.665	2.259	0
6	2	2	18	3.11	0	0	5.199	0	0	0	0	1.665	0	0	0	2.898	0	1.665	0	0	0	0	0
6	3	1	18	2.52	1.35	0	1.904	1.35	1.904	0	0	2.727	0	0	0	1.904	1.35	0	0	0	0	0	0
6	3	2	18	4.242	0	0	1.665	0	1.665	0	0	2.629	0	0	0	2.898	1.665	0	0	0	2.898	2.898	0
6	4	1	21	4.179	0	0	6.073	0	0	0	0	0	0	0	0	4.242	0	2.629	0	0	1.665	2.898	0
6	4	2	18	3.11	0	0	4.511	0	2.259	0	0	0	0	0	0	2.629	2.259	0	0	0	3.11	2.629	1.665
6	5	1	24	4.76	0	0	1.665	0	2.259	0	0	0	0	0	0	4.179	2.259	0	1.665	0	4.242	3.678	0
6	5	2	30	3.11	0	0	4.111	0	2.629	0	0	0	0	0	0	5.073	0	0	0	0	4.179	0	0
6	6	1	154	4.463	0	0	4.038	0	3.564	0	0	2.629	0	0	0	7.322	0	0	0	0	0	3.285	0
6	6	2	41	3.678	0	0	2.259	0	0	0	0	2.259	1.665	0	0	5.372	0	0	0	2.259	5.763	1.665	0
