Date	Days p.a.	Treatment	Replicate	EF	Scenedesmus maximus	Scenedesmus aristatus	Scenedesmus opoliensis	Scenedesmus dimorphus	Scenedesmus quadricauda	Scenedesmus quadrispina	Scenedesmus javanensis	Scenedesmus dispar	Scenedesmus bicaudatus	Scenedesmus denticulatus	Scenedesmus denticulatus var. linearis	Scenedesmus bijuga	Scenedesmus ovalternus	Pediastrum tetras	Pediastrum duplex	Pediastrum simplex	Coelastrum sphaericum	Coelastrum cambricum	Coelastrum sphaericum	Coelastrum astroideum	Coelastrum microporum	Tetraedron caudatum	Tetraedron minimum	Cosmarium sp	Stigeoclonium sp	Gloeocapsa sp	Hydrodictyon sp	Schoederia sp	Euglena pisciformis	Phacus longispina	Phormidium mucicola	Oscillatoria limnetica	Oscillatoria tenius	Spirulina subsalsa	Chamaesiphon sp	Chroococcus limeticus	Anabaena sp	Gloeotrichia sp	Aphanocapsa sp	Merismopedia tenuissima	Cocconeis sp	Cyclotella sp	Nitzschia palea	Nitzschia amphibia	Gomphonema sp	Gomphonema parvulum
13/4/2005	43	1	2	12.728	0	0	0	0	0	0	0	93.75	0	0	0	0	0	37.5	0	0	0	0	0	0	0	0	0	0	87242	0	0	18.75	0	18.75	0	37.5	0	0	0	0	0	18.75	0	0	731.25	0	0	0	56.25	18.75
13/4/2005	43	1	3	6.808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	19	0	513	0	0	0
13/4/2005	43	1	4	3.848	0	0	0	0	0	0	0	0	0	0	0	0	0	18.75	0	0	0	0	0	0	0	0	0	0	1143.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43621	0	0	0	0	0
13/4/2005	43	2	1	2.664	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1273	0	0	0	0	0
13/4/2005	43	2	2	2.22	0	0	0	0	0	0	0	0	38	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0
13/4/2005	43	3	1	2.072	0	0	0	0	0	0	0	18.5	92.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.5	0	0	0	0	0	0	18.5	0	0	37	0	0	0	0	0	41902.5	18.5	0	0	0	18.5
13/4/2005	43	3	2	51.504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192.5	0	0	0	0	0	0	0	0	0	872460	0	0	0	0	0	1193.5	0	0	0	0	0
13/4/2005	43	4	1	6.808	37.5	0	0	0	112.5	0	0	18.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.75	0	56.25	0	0	0	0	0	0	37.5	37.5	0	0	0	0	0	37.5	0	93.75	0	18.75	0	0	0
13/4/2005	43	4	2	4.588	0	0	0	0	0	0	0	0	281.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.5	0	0	0	0	0
13/4/2005	43	5	1	0.592	0	0	0	0	555	0	0	18.5	240.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13/4/2005	43	5	2	4.736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0
24/4/2005	54	1	1	5.328	0	0	0	0	0	0	0	26.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3487.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543.75	0	0	0	0	0
24/4/2005	54	1	2	30.044	0	0	0	0	0	0	0	56.25	0	0	0	0	0	37.5	0	0	0	0	0	0	0	0	0	0	87242	0	0	0	0	0	0	18.75	0	0	0	0	0	0	0	0	4500	0	0	0	18.75	0
24/4/2005	54	1	3	1.48	0	0	0	0	0	0	0	91.25	18.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273.75	0	456.25	0	0	0
24/4/2005	54	1	4	7.992	0	0	0	0	0	0	0	0	54.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3102.5	0	0	0	18.25	0
24/4/2005	54	2	1	0.296	0	0	0	0	0	0	0	18.5	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1517	0	0	0	0	0
24/4/2005	54	2	2	5.328	0	0	0	0	0	0	0	73	18.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0
24/4/2005	54	3	1	1.036	0	0	0	0	0	0	0	36.5	36.5	0	0	0	0	18.25	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43619	0	0	0	0	0
24/4/2005	54	3	2	26.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294428.25	0	0	0	0	0	0	0	0	0	0	0
24/4/2005	54	4	1	27.824	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1090450	0	0	0	0	0	0	0	0	0	0	0
24/4/2005	54	4	2	2.516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218100	0	0	0	0	0	0	0	0	0	0	0
24/4/2005	54	5	1	26.936	0	0	0	0	18	0	0	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	90	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0
24/4/2005	54	5	2	6.956	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177211.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5	351.5	0	0	0	0	0
